fecha_venta,hora_venta,Producto,Valor_sugerido,venta_final,venta_inventario,valor_compra,contribucion,Comprador,fecha_ingreso_inventario,NOMBRE,sexo_producto,color_prenda,talla_prenda,proveedor,OBSERVACIONES
2022-07-08,1630,1117,75000,70000,75000,43000,27000,Mujer,2022-07-04,CHAQUETA COCO,MUJER,NEGRO,U,TOTAS,
2022-07-08,1830,0070,66000,55000,66000,38666,16334,Mujer,2022-06-01,BUZO SANDYTEX,MUJER,AGUA MARINA,U,TULCAN,
2022-07-09,1630,0126,76000,70000,76000,43000,27000,Mujer,2022-06-01,GABAN SMOKING,MUJER,NEGRO,M,TOTAS,
2022-07-09,2000,0035,60000,55000,60000,34666,20334,Mujer,2022-06-01,LLACADO CON FELPA,MUJER,GRIS,U,TULCAN,
2022-07-13,1830,0089,55000,50000,55000,31333,18667,Mujer,2022-06-01,CUELLO BANDEJA CORTO,MUJER,ROJO,U,TULCAN,
2022-07-15,1730,0082,60000,55000,60000,34666,20334,Hombre,2022-06-01,BUZO ESCALERA,HOMBRE,GRIS CLARO,U,TULCAN,
2022-07-16,1600,0019,60000,55000,60000,34666,20334,Hombre,2022-06-01,BUZO CUELLO ALTO,MUJER,GRIS OSCURO,U,TULCAN,
2022-07-16,1630,1131,95000,85000,95000,69000,16000,Hombre,2022-07-04,APLIQUE,HOMBRE,GRIS,L,TOTAS,
2022-07-16,1730,0069,66000,60000,66000,38666,21334,Mujer,2022-06-01,BUZO RAYAS,MUJER,BLANCO,U,TULCAN,
2022-07-16,1600,0060,60000,55000,60000,34667,20333,Mujer,2022-06-01,ETNICO,MUJER,AZUL OSCURO,U,TULCAN,
2022-07-19,,0068,66000,50000,66000,38666,11334,,2022-06-01,BUZO RAYAS,MUJER,ROSADO,U,TULCAN,
2022-07-21,1700,1029,75000,70000,75000,42000,28000,Mujer,2022-06-07,MAJO,MUJER,,,TOTAS,
2022-07-22,1500,0106,78000,70000,78000,46000,24000,Mujer,2022-06-01,CAP NOA,MUJER,ROSADO,U,TULCAN,
2022-07-23,1630,0034,60000,55000,60000,34666,20334,Mujer,2022-06-01,LLACADO CON FELPA,MUJER,ROSADO,U,TULCAN,
2022-07-23,1730,0052,60000,55000,60000,34667,20333,Mujer,2022-06-01,ETNICO,MUJER,ROSADO,U,TULCAN,
2022-07-26,1230,0023,72000,65000,72000,42666,22334,Mujer,2022-06-01,PUNTEADO,MUJER,NEGRO,U,TULCAN,
2022-07-28,1600,0076,60000,55000,60000,34666,20334,Mujer,2022-06-01,CUELLO ABIERTO,MUJER,PIEL,U,TULCAN,
2022-07-29,1000,0083,60000,55000,60000,34666,20334,Mujer,2022-06-01,BUZO ESCALERA,HOMBRE,AZUL OSCURO,U,TULCAN,
2022-07-30,1700,1016,65000,60000,65000,35000,25000,Hombre,2022-06-07,DEMI,HOMBRE,GRIS CLARO,U,TOTAS,
2022-08-01,1700,0063,66000,60000,66000,38666,21334,Mujer,2022-06-01,BUZO SANDYTEX,MUJER,ROJO,U,TULCAN,
2022-08-08,1830,0033,60000,55000,60000,34666,20334,Mujer,2022-06-01,CANGURO,MUJER,PERLA,U,TULCAN,
2022-08-09,1330,0048,72000,65000,72000,42667,22333,,2022-06-01,AJEDREZ,MUJER,ROSADO,U,TULCAN,
2022-08-11,1300,0100,65000,60000,65000,39000,21000,Mujer,2022-06-01,TOPACIO,MUJER,GRIS,U,TOTAS,
2022-08-11,1700,0022,72000,65000,72000,42666,22334,Mujer,2022-06-01,PUNTEADO,MUJER,GRIS CLARO,U,TULCAN,
2022-08-11,1730,0065,66000,60000,66000,38666,21334,Mujer,2022-06-01,BUZO RAYAS,MUJER,ROJO,U,TULCAN,
2022-08-12,1300,1012,65000,60000,75000,43000,17000,Mujer,2022-06-07,BLAZER,HOMBRE,NEGRO,S,TOTAS,
2022-08-12,1800,1068,20000,15000,20000,8300,6700,Mujer,2022-06-16,BASICA,MUJER,ROJO,M,ETANOL CAMISAS,
2022-08-12,1830,1247,50000,50000,50000,30000,20000,Mujer,2022-08-11,BUSO CUELLO,UNISEX,GRIS,M,ETANOL CAMISAS,
2022-08-13,1530,1208,25000,20000,25000,12300,7700,Mujer,2022-08-11,CAMIBUSO,MUJER,GRIS,M,ETANOL CAMISAS,
2022-08-11,,1209,25000,20000,25000,12300,7700,Familia,2022-08-11,CAMIBUSO,MUJER,AZUL,M,ETANOL CAMISAS,
2022-08-11,,1213,25000,20000,25000,13800,6200,Familia,2022-08-11,CAMIBUSO,HOMBRE,GRIS,M,ETANOL CAMISAS,
2022-08-20,900,1252,25000,20000,25000,12300,7700,Mujer,2022-08-20,CAMIBUSO,MUJER,NEGRO,M,ETANOL CAMISAS,VENDIDO A AURA
2022-08-23,1030,0004,60000,35000,60000,35000,0,Familia,2022-06-01,CAPOTA SOLO FONDO,HOMBRE,GRIS,U,TOTAS,
2022-08-13,1530,1205,25000,20000,18000,9300,10700,Mujer,2022-08-11,CAMISILLA,MUJER,ROJO,M,ETANOL CAMISAS,
2022-08-13,1600,0116,76000,70000,76000,43000,27000,Hombre,2022-06-01,GABAN SMOKING,MUJER,NEGRO,S,TOTAS,
2022-08-14,900,0045,72000,65000,72000,42667,22333,Mujer,2022-06-01,SACO LARGO CUADROS,MUJER,GRIS,U,TULCAN,
